canal_venta,Family,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
DHO,X FIBER,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,1
DHO,X MUSIC,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
DHO,X PRIVACY,0,0,0,0,0,0,2,3,1,1,2,1,3,0,0,0
DHO,X PROTECTION,0,0,0,0,0,0,0,2,3,0,1,1,1,2,2,4
DHO,X SECURITY,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0
DHO,X UCOM,0,0,0,1,1,2,1,1,2,4,3,2,4,3,5,6
IT integrator,X FIBER,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
IT integrator,X MUSIC,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
IT integrator,X PROTECTION,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
IT integrator,X SECURITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IT integrator,X UCOM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WEB,X FIBER,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
WEB,X MUSIC,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
WEB,X PRIVACY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WEB,X PROTECTION,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0
WEB,X UCOM,0,0,0,0,1,0,0,0,2,1,2,4,4,2,1,0
